name,iter_num,0.001,0.005,0.01,0.05
z-test,0,0,0,0,0
"t-test, equal var = true",0,0,0,0,0
"t-test, equal var = false",0,0,0,0,0
"permutation test, mean stat",0,0,0,0,0
"bootstrap, percentile method",0,0,0,0,0
"bootstrap, basic method",0,0,0,0,0
"bootstrap, bca method",0,0,0,0,0
z-test,1,0,0,0,0
"t-test, equal var = true",1,0,0,0,0
"t-test, equal var = false",1,0,0,0,0
"permutation test, mean stat",1,0,0,0,0
"bootstrap, percentile method",1,0,0,0,0
"bootstrap, basic method",1,0,0,0,0
"bootstrap, bca method",1,0,0,0,0
z-test,2,0,0,0,0
"t-test, equal var = true",2,0,0,0,0
"t-test, equal var = false",2,0,0,0,0
"permutation test, mean stat",2,0,0,0,0
"bootstrap, percentile method",2,0,0,0,0
"bootstrap, basic method",2,0,0,0,0
"bootstrap, bca method",2,0,0,0,0
z-test,3,0,0,0,0
"t-test, equal var = true",3,0,0,0,0
"t-test, equal var = false",3,0,0,0,0
"permutation test, mean stat",3,0,0,0,0
"bootstrap, percentile method",3,0,0,0,0
"bootstrap, basic method",3,0,0,0,0
"bootstrap, bca method",3,0,0,0,0
z-test,4,0,0,0,0
"t-test, equal var = true",4,0,0,0,0
"t-test, equal var = false",4,0,0,0,0
"permutation test, mean stat",4,0,0,0,0
"bootstrap, percentile method",4,0,0,0,0
"bootstrap, basic method",4,0,0,0,0
"bootstrap, bca method",4,0,0,0,0
z-test,5,0,0,0,0
"t-test, equal var = true",5,0,0,0,0
"t-test, equal var = false",5,0,0,0,0
"permutation test, mean stat",5,0,0,0,0
"bootstrap, percentile method",5,0,0,0,0
"bootstrap, basic method",5,0,0,0,0
"bootstrap, bca method",5,0,0,0,1
z-test,6,0,0,0,0
"t-test, equal var = true",6,0,0,0,0
"t-test, equal var = false",6,0,0,0,0
"permutation test, mean stat",6,0,0,0,0
"bootstrap, percentile method",6,0,0,0,0
"bootstrap, basic method",6,0,0,0,0
"bootstrap, bca method",6,0,0,0,0
z-test,7,0,0,0,0
"t-test, equal var = true",7,0,0,0,0
"t-test, equal var = false",7,0,0,0,0
"permutation test, mean stat",7,0,0,0,0
"bootstrap, percentile method",7,0,0,0,0
"bootstrap, basic method",7,0,0,0,0
"bootstrap, bca method",7,0,0,0,0
z-test,8,0,0,0,0
"t-test, equal var = true",8,0,0,0,0
"t-test, equal var = false",8,0,0,0,0
"permutation test, mean stat",8,0,0,0,0
"bootstrap, percentile method",8,0,0,0,0
"bootstrap, basic method",8,0,0,0,0
"bootstrap, bca method",8,0,0,0,0
z-test,9,0,0,0,0
"t-test, equal var = true",9,0,0,0,0
"t-test, equal var = false",9,0,0,0,0
"permutation test, mean stat",9,0,0,0,0
"bootstrap, percentile method",9,0,0,0,0
"bootstrap, basic method",9,0,0,0,0
"bootstrap, bca method",9,0,0,0,0
z-test,10,0,0,0,0
"t-test, equal var = true",10,0,0,0,0
"t-test, equal var = false",10,0,0,0,0
"permutation test, mean stat",10,0,0,0,0
"bootstrap, percentile method",10,0,0,0,0
"bootstrap, basic method",10,0,0,0,0
"bootstrap, bca method",10,0,0,0,0
z-test,11,0,0,0,0
"t-test, equal var = true",11,0,0,0,0
"t-test, equal var = false",11,0,0,0,0
"permutation test, mean stat",11,0,0,0,0
"bootstrap, percentile method",11,0,0,0,1
"bootstrap, basic method",11,0,0,0,1
"bootstrap, bca method",11,0,0,0,1
z-test,12,0,0,0,0
"t-test, equal var = true",12,0,0,0,0
"t-test, equal var = false",12,0,0,0,0
"permutation test, mean stat",12,0,0,0,0
"bootstrap, percentile method",12,0,0,0,0
"bootstrap, basic method",12,0,0,0,0
"bootstrap, bca method",12,0,0,0,0
z-test,13,0,0,0,0
"t-test, equal var = true",13,0,0,0,0
"t-test, equal var = false",13,0,0,0,0
"permutation test, mean stat",13,0,0,0,0
"bootstrap, percentile method",13,0,0,0,0
"bootstrap, basic method",13,0,0,0,0
"bootstrap, bca method",13,0,0,0,0
z-test,14,0,0,0,0
"t-test, equal var = true",14,0,0,0,0
"t-test, equal var = false",14,0,0,0,0
"permutation test, mean stat",14,0,0,0,0
"bootstrap, percentile method",14,0,0,0,0
"bootstrap, basic method",14,0,0,0,0
"bootstrap, bca method",14,0,0,0,0
z-test,15,0,0,0,0
"t-test, equal var = true",15,0,0,0,0
"t-test, equal var = false",15,0,0,0,0
"permutation test, mean stat",15,0,0,0,0
"bootstrap, percentile method",15,0,0,0,0
"bootstrap, basic method",15,0,0,0,0
"bootstrap, bca method",15,0,0,0,0
z-test,16,0,0,0,0
"t-test, equal var = true",16,0,0,0,0
"t-test, equal var = false",16,0,0,0,0
"permutation test, mean stat",16,0,0,0,0
"bootstrap, percentile method",16,0,0,0,0
"bootstrap, basic method",16,0,0,0,0
"bootstrap, bca method",16,0,0,0,0
z-test,17,0,0,0,1
"t-test, equal var = true",17,0,0,0,1
"t-test, equal var = false",17,0,0,0,1
"permutation test, mean stat",17,0,0,0,1
"bootstrap, percentile method",17,0,0,0,1
"bootstrap, basic method",17,0,0,0,1
"bootstrap, bca method",17,0,0,1,1
z-test,18,0,0,0,0
"t-test, equal var = true",18,0,0,0,0
"t-test, equal var = false",18,0,0,0,0
"permutation test, mean stat",18,0,0,0,0
"bootstrap, percentile method",18,0,0,0,0
"bootstrap, basic method",18,0,0,0,0
"bootstrap, bca method",18,0,0,0,0
z-test,19,0,0,0,0
"t-test, equal var = true",19,0,0,0,0
"t-test, equal var = false",19,0,0,0,0
"permutation test, mean stat",19,0,0,0,0
"bootstrap, percentile method",19,0,0,0,0
"bootstrap, basic method",19,0,0,0,0
"bootstrap, bca method",19,0,0,0,0
z-test,20,0,0,0,0
"t-test, equal var = true",20,0,0,0,0
"t-test, equal var = false",20,0,0,0,0
"permutation test, mean stat",20,0,0,0,0
"bootstrap, percentile method",20,0,0,0,0
"bootstrap, basic method",20,0,0,0,0
"bootstrap, bca method",20,0,0,0,0
z-test,21,0,0,0,0
"t-test, equal var = true",21,0,0,0,0
"t-test, equal var = false",21,0,0,0,0
"permutation test, mean stat",21,0,0,0,0
"bootstrap, percentile method",21,0,0,0,0
"bootstrap, basic method",21,0,0,0,0
"bootstrap, bca method",21,0,0,0,1
z-test,22,0,0,0,0
"t-test, equal var = true",22,0,0,0,0
"t-test, equal var = false",22,0,0,0,0
"permutation test, mean stat",22,0,0,0,0
"bootstrap, percentile method",22,0,0,0,0
"bootstrap, basic method",22,0,0,0,0
"bootstrap, bca method",22,0,0,0,0
z-test,23,0,0,0,0
"t-test, equal var = true",23,0,0,0,0
"t-test, equal var = false",23,0,0,0,0
"permutation test, mean stat",23,0,0,0,0
"bootstrap, percentile method",23,0,0,0,0
"bootstrap, basic method",23,0,0,0,0
"bootstrap, bca method",23,0,0,0,0
z-test,24,0,0,0,0
"t-test, equal var = true",24,0,0,0,0
"t-test, equal var = false",24,0,0,0,0
"permutation test, mean stat",24,0,0,0,0
"bootstrap, percentile method",24,0,0,0,0
"bootstrap, basic method",24,0,0,0,0
"bootstrap, bca method",24,0,0,0,0
z-test,25,0,0,0,0
"t-test, equal var = true",25,0,0,0,0
"t-test, equal var = false",25,0,0,0,0
"permutation test, mean stat",25,0,0,0,0
"bootstrap, percentile method",25,0,0,0,0
"bootstrap, basic method",25,0,0,0,0
"bootstrap, bca method",25,0,0,0,0
z-test,26,0,0,0,0
"t-test, equal var = true",26,0,0,0,0
"t-test, equal var = false",26,0,0,0,0
"permutation test, mean stat",26,0,0,0,0
"bootstrap, percentile method",26,0,0,0,0
"bootstrap, basic method",26,0,0,0,0
"bootstrap, bca method",26,0,0,0,0
z-test,27,0,0,0,0
"t-test, equal var = true",27,0,0,0,0
"t-test, equal var = false",27,0,0,0,0
"permutation test, mean stat",27,0,0,0,0
"bootstrap, percentile method",27,0,0,0,0
"bootstrap, basic method",27,0,0,0,0
"bootstrap, bca method",27,0,0,0,0
z-test,28,0,0,0,0
"t-test, equal var = true",28,0,0,0,0
"t-test, equal var = false",28,0,0,0,0
"permutation test, mean stat",28,0,0,0,0
"bootstrap, percentile method",28,0,0,0,0
"bootstrap, basic method",28,0,0,0,0
"bootstrap, bca method",28,0,0,0,0
z-test,29,0,0,0,0
"t-test, equal var = true",29,0,0,0,0
"t-test, equal var = false",29,0,0,0,0
"permutation test, mean stat",29,0,0,0,0
"bootstrap, percentile method",29,0,0,0,0
"bootstrap, basic method",29,0,0,0,0
"bootstrap, bca method",29,0,0,0,0
z-test,30,0,0,0,0
"t-test, equal var = true",30,0,0,0,0
"t-test, equal var = false",30,0,0,0,0
"permutation test, mean stat",30,0,0,0,0
"bootstrap, percentile method",30,0,0,0,0
"bootstrap, basic method",30,0,0,0,0
"bootstrap, bca method",30,0,0,0,0
z-test,31,0,0,0,0
"t-test, equal var = true",31,0,0,0,0
"t-test, equal var = false",31,0,0,0,0
"permutation test, mean stat",31,0,0,0,0
"bootstrap, percentile method",31,0,0,0,0
"bootstrap, basic method",31,0,0,0,0
"bootstrap, bca method",31,0,0,0,0
z-test,32,0,0,0,0
"t-test, equal var = true",32,0,0,0,0
